819827	Razvilka	55.591667	37.740833	RU
480685	Tuchkovo	55.601112	36.468056	RU
4286281	Burlington	39.027561	-84.724113	US
4288809	Covington	39.083672	-84.508553	US
4289445	Danville	37.645630	-84.772171	US
4291255	Erlanger	39.016731	-84.600777	US
3024643	Clermont	49.383331	2.400000	FR
3027422	Chambery	45.566669	5.933330	FR
2524085	Monreale	38.080051	13.288540	IT
2525362	Carbonia	39.167221	8.522220	IT
2905206	Hettstedt	51.650002	11.500000	DE
2837115	Schomberg	48.787128	8.644950	DE
689488	Vyshneve	48.436611	33.916180	UA
689531	Vynohradove	46.369572	32.939800	UA
2781837	Berndorf	47.945671	16.109730	AT
2781859	Bergheim	47.833328	13.033330	AT
2511477	Salvaleon	38.510201	-6.786270	ES
2511495	Salteras	37.420601	-6.110490	ES
2511503	Salobrena	36.742771	-3.587170	ES
3818819	Chapuco	    18.608330	-97.416672	MX
3521305	Polanco	    19.416670	-99.199997	MX
3451152	Rio do Sul	-27.214170	-49.643059	BR
3445578	Valinhos	-22.970560	-46.995831	BR
2454530	Koulikoro	12.862730	-7.559850	ML
2460489	Bandiagara	14.350050	-3.610380	ML
2458334	Douentza	14.995100	-2.951700	ML
